pH,DO,Water Quality,Equivalent,,,,,,,,,,
5.5,5.5,65.67,Good (G),,,,,,,,,,
5.5,6,65.67,Good (G),,,,,,,,,,
5.5,6.5,65.67,Good (G),,,,,,,,,,
5.5,7,65.67,Good (G),,,,,,,,,,
5.5,7.5,65.67,Good (G),,,,,,,,,,
5.5,8,65.67,Good (G),,,,,,,,,,
6,0,15.28,Toxic (T),,,,,,,,,,
6,0.5,15.28,Toxic (T),,,,,,,,,,
6,1,15.28,Toxic (T),,,,,,,,,,
6,1.5,22,Toxic (T),,,,,,,,,,
6,2,28.18,Poor (P),,,,,,,,,,
6,2.5,40.67,Poor (P),,,,,,,,,,
6,3,39.87,Poor (P),,,,,,,,,,
6,3.5,53.93,Good (G),,,,,,,,,,
6,4,65.67,Good (G),,,,,,,,,,
6,4.5,65.67,Good (G),,,,,,,,,,
6,5,65.67,Good (G),,,,,,,,,,
6,5.5,65.67,Good (G),,,,,,,,,,
6,6,65.67,Good (G),,,,,,,,,,
6,6.5,65.67,Good (G),,,,,,,,,,
6,7,65.67,Good (G),,,,,,,,,,
6,7.5,65.67,Good (G),,,,,,,,,,
6,8,65.67,Good (G),,,,,,,,,,
6.5,0,38.94,Poor (P),,,,,,,,,,
6.5,0.5,38.94,Poor (P),,,,,,,,,,
6.5,1,38.94,Poor (P),,,,,,,,,,
6.5,1.5,62.74,Good (G),,,,,,,,,,
6.5,2,62.74,Good (G),,,,,,,,,,
6.5,2.5,88.94,Excellent (E),,,,,,,,,,
6.5,3,88.94,Excellent (E),,,,,,,,,,
6.5,3.5,88.94,Excellent (E),,,,,,,,,,
6.5,4,88.94,Excellent (E),,,,,,,,,,
6.5,4.5,88.94,Excellent (E),,,,,,,,,,
6.5,5,88.94,Excellent (E),,,,,,,,,,
6.5,5.5,88.94,Excellent (E),,,,,,,,,,
6.5,6,88.94,Excellent (E),,,,,,,,,,
6.5,6.5,88.94,Excellent (E),,,,,,,,,,
6.5,7,88.94,Excellent (E),,,,,,,,,,
6.5,7.5,88.94,Excellent (E),,,,,,,,,,
6.5,8,88.94,Excellent (E),,,,,,,,,,
7,0,39.81,Poor (P),,,,,,,,,,
7,0.5,39.81,Poor (P),,,,,,,,,,
7,1,39.81,Poor (P),,,,,,,,,,
7,1.5,57.88,Good (G),,,,,,,,,,
7,2,65.42,Good (G),,,,,,,,,,
7,2.5,89.81,Excellent (E),,,,,,,,,,
7,3,89.81,Excellent (E),,,,,,,,,,
7,3.5,89.43,Excellent (E),,,,,,,,,,
7,4,89.81,Excellent (E),,,,,,,,,,
7,4.5,89.81,Excellent (E),,,,,,,,,,
7,5,89.81,Excellent (E),,,,,,,,,,
7,5.5,89.81,Excellent (E),,,,,,,,,,
7,6,89.81,Excellent (E),,,,,,,,,,
7,6.5,89.81,Excellent (E),,,,,,,,,,
7,7,89.81,Excellent (E),,,,,,,,,,
7,7.5,89.81,Excellent (E),,,,,,,,,,
7,8,89.81,Excellent (E),,,,,,,,,,
7.5,0,40.59,Poor (P),,,,,,,,,,
7.5,0.5,40.59,Poor (P),,,,,,,,,,
7.5,1,40.59,Poor (P),,,,,,,,,,
7.5,1.5,56.11,Good (G),,,,,,,,,,
7.5,2,65.72,Good (G),,,,,,,,,,
7.5,2.5,90.59,Excellent (E),,,,,,,,,,
7.5,3,89.87,Excellent (E),,,,,,,,,,
7.5,3.5,89.43,Excellent (E),,,,,,,,,,
7.5,4,90.59,Excellent (E),,,,,,,,,,
7.5,4.5,90.59,Excellent (E),,,,,,,,,,
7.5,5,90.59,Excellent (E),,,,,,,,,,
7.5,5.5,90.59,Excellent (E),,,,,,,,,,
7.5,6,90.59,Excellent (E),,,,,,,,,,
7.5,6.5,90.59,Excellent (E),,,,,,,,,,
7.5,7,90.59,Excellent (E),,,,,,,,,,
7.5,7.5,90.59,Excellent (E),,,,,,,,,,
7.5,8,90.59,Excellent (E),,,,,,,,,,
8,0,39.93,Poor (P),,,,,,,,,,
8,0.5,39.93,Poor (P),,,,,,,,,,
8,1,39.93,Poor (P),,,,,,,,,,
8,1.5,57.52,Good (G),,,,,,,,,,
8,2,65.72,Good (G),,,,,,,,,,
8,2.5,89.93,Excellent (E),,,,,,,,,,
8,3,89.87,Excellent (E),,,,,,,,,,
8,3.5,89.43,Excellent (E),,,,,,,,,,
8,4,89.93,Excellent (E),,,,,,,,,,
8,4.5,89.93,Excellent (E),,,,,,,,,,
8,5,89.93,Excellent (E),,,,,,,,,,
8,5.5,89.93,Excellent (E),,,,,,,,,,
8,6,89.93,Excellent (E),,,,,,,,,,
8,6.5,89.93,Excellent (E),,,,,,,,,,
8,7,89.93,Excellent (E),,,,,,,,,,
8,7.5,89.93,Excellent (E),,,,,,,,,,
8,8,89.93,Excellent (E),,,,,,,,,,
8.5,0,24.23,Toxic (T),,,,,,,,,,
8.5,0.5,24.23,Toxic (T),,,,,,,,,,
8.5,1,24.23,Toxic (T),,,,,,,,,,
8.5,1.5,44.81,Poor (P),,,,,,,,,,
8.5,2,45.53,Poor (P),,,,,,,,,,
8.5,2.5,59.78,Good (G),,,,,,,,,,
8.5,3,59.78,Good (G),,,,,,,,,,
8.5,3.5,64.41,Good (G),,,,,,,,,,
8.5,4,74.73,Good (G),,,,,,,,,,
8.5,4.5,74.73,Good (G),,,,,,,,,,
8.5,5,74.73,Good (G),,,,,,,,,,
8.5,5.5,74.73,Good (G),,,,,,,,,,
8.5,6,74.73,Good (G),,,,,,,,,,
8.5,6.5,74.73,Good (G),,,,,,,,,,
8.5,7,74.73,Good (G),,,,,,,,,,
8.5,7.5,74.73,Good (G),,,,,,,,,,
8.5,8,74.73,Good (G),,,,,,,,,,
9,0,15.28,Toxic (T),,,,,,,,,,
9,0.5,15.28,Toxic (T),,,,,,,,,,
9,1,15.28,Toxic (T),,,,,,,,,,
9,1.5,22,Toxic (T),,,,,,,,,,
9,2,28.18,Poor (P),,,,,,,,,,
9,2.5,40.67,Poor (P),,,,,,,,,,
9,3,39.87,Poor (P),,,,,,,,,,
9,3.5,53.93,Good (G),,,,,,,,,,
9,4,65.67,Good (G),,,,,,,,,,
9,4.5,65.67,Good (G),,,,,,,,,,
9,5,65.67,Good (G),,,,,,,,,,
9,5.5,65.67,Good (G),,,,,,,,,,
9,6,65.67,Good (G),,,,,,,,,,
9,6.5,65.67,Good (G),,,,,,,,,,
9,7,65.67,Good (G),,,,,,,,,,
9,7.5,65.67,Good (G),,,,,,,,,,
9,8,65.67,Good (G),,,,,,,,,,
9.5,0,15.28,Toxic (T),,,,,,,,,,
9.5,0.5,15.28,Toxic (T),,,,,,,,,,
9.5,1,15.28,Toxic (T),,,,,,,,,,
9.5,1.5,22,Toxic (T),,,,,,,,,,
9.5,2,28.18,Poor (P),,,,,,,,,,
9.5,2.5,40.67,Poor (P),,,,,,,,,,
9.5,3,39.87,Poor (P),,,,,,,,,,
9.5,3.5,53.93,Good (G),,,,,,,,,,
9.5,4,65.67,Good (G),,,,,,,,,,
9.5,4.5,65.67,Good (G),,,,,,,,,,
9.5,5,65.67,Good (G),,,,,,,,,,
9.5,5.5,65.67,Good (G),,,,,,,,,,
9.5,6,65.67,Good (G),,,,,,,,,,
9.5,6.5,65.67,Good (G),,,,,,,,,,
9.5,7,65.67,Good (G),,,,,,,,,,
9.5,7.5,65.67,Good (G),,,,,,,,,,
9.5,8,65.67,Good (G),,,,,,,,,,
10,0,15.28,Toxic (T),,,,,,,,,,
10,0.5,15.28,Toxic (T),,,,,,,,,,
10,1,15.28,Toxic (T),,,,,,,,,,
10,1.5,22,Toxic (T),,,,,,,,,,
10,2,28.18,Poor (P),,,,,,,,,,
10,2.5,40.67,Poor (P),,,,,,,,,,
10,3,39.87,Poor (P),,,,,,,,,,
10,3.5,53.93,Good (G),,,,,,,,,,
10,4,65.67,Good (G),,,,,,,,,,
10,4.5,65.67,Good (G),,,,,,,,,,
10,5,65.67,Good (G),,,,,,,,,,
10,5.5,65.67,Good (G),,,,,,,,,,
10,6,65.67,Good (G),,,,,,,,,,
10,6.5,65.67,Good (G),,,,,,,,,,
10,7,65.67,Good (G),,,,,,,,,,
10,7.5,65.67,Good (G),,,,,,,,,,
10,8,65.67,Good (G),,,,,,,,,,
10.5,0,15.28,Toxic (T),,,,,,,,,,
10.5,0.5,15.28,Toxic (T),,,,,,,,,,
10.5,1,15.28,Toxic (T),,,,,,,,,,
10.5,1.5,22,Toxic (T),,,,,,,,,,
10.5,2,28.18,Poor (P),,,,,,,,,,
10.5,2.5,40.67,Poor (P),,,,,,,,,,
10.5,3,39.87,Poor (P),,,,,,,,,,
10.5,3.5,53.93,Good (G),,,,,,,,,,
10.5,4,65.67,Good (G),,,,,,,,,,
10.5,4.5,65.67,Good (G),,,,,,,,,,
10.5,5,65.67,Good (G),,,,,,,,,,
10.5,5.5,65.67,Good (G),,,,,,,,,,
10.5,6,65.67,Good (G),,,,,,,,,,
10.5,6.5,65.67,Good (G),,,,,,,,,,
10.5,7,65.67,Good (G),,,,,,,,,,
10.5,7.5,65.67,Good (G),,,,,,,,,,
10.5,8,65.67,Good (G),,,,,,,,,,
11,0,15.28,Toxic (T),,,,,,,,,,
11,0.5,15.28,Toxic (T),,,,,,,,,,
11,1,15.28,Toxic (T),,,,,,,,,,
11,1.5,22,Toxic (T),,,,,,,,,,
11,2,28.18,Poor (P),,,,,,,,,,
11,2.5,40.67,Poor (P),,,,,,,,,,
11,3,39.87,Poor (P),,,,,,,,,,
11,3.5,53.93,Good (G),,,,,,,,,,
11,4,65.67,Good (G),,,,,,,,,,
11,4.5,65.67,Good (G),,,,,,,,,,
11,5,65.67,Good (G),,,,,,,,,,
11,5.5,65.67,Good (G),,,,,,,,,,
11,6,65.67,Good (G),,,,,,,,,,
11,6.5,65.67,Good (G),,,,,,,,,,
11,7,65.67,Good (G),,,,,,,,,,
11,7.5,65.67,Good (G),,,,,,,,,,
11,8,65.67,Good (G),,,,,,,,,,
